source,target,type,label
018c,001p,direct,Kevin Mauser – Allemagne
021c,002p,direct,Marie Laforêt – France
019c,008p,direct,Kochi no Kento – Japon
027c,002p,direct,Pomme – France
039c,002p,direct,Woodkid – France
049c,004p,direct,Ashniko – USA
001c,006p,direct,Adele – Angleterre
025c,005p,direct,Nitay Hershkovits – Israel
026c,004p,direct,No doubt – USA
008c,011p,direct,Gustavo Santaoalla – Argentine
048c,004p,direct,Crooked still – USA
032c,004p,direct,Shirley Collins – USA
015c,002p,direct,Jacques – France
031c,004p,direct,San Firmin – USA
022c,010p,direct,Marina – Pays de Galles
006c,004p,direct,Freshman Biology - USA
020c,004p,direct,Low – USA
035c,006p,direct,The last dinner party – Angleterre
042c,012p,direct,fish in a birdcage – Canada
013c,004p,direct,Huey Lewis and the news – USA
017c,009p,direct,Jonathan Eng – Suede
037c,004p,direct,Tom Petty – USA
007c,006p,direct,George Harrison – Angleterre
028c,006p,direct,Queen – Angleterre
023c,008p,direct,Mitski – Japon
016c,007p,direct,Jacques Brel – Belgique
033c,004p,direct,TV Girl – USA
047c,004p,direct,Bobby Vee – USA
024c,004p,direct,Nina Simone – USA
010c,004p,direct,Hank Williams – USA
036c,004p,direct,Toby fox – USA
040c,006p,direct,Asia – Angleterre
012c,003p,direct,Hozier – Irlande
004c,006p,direct,Declan Mckenna – Angleterre
029c,004p,direct,REM – USA
038c,004p,direct,Will paquin – USA
005c,006p,direct,Electric light orchestra – Angleterre
002c,009p,direct,Army of lovers – Suede
003c,004p,direct,Cosmo Sheldrake – USA
009c,004p,direct,Hamilton Leithauser – USA
011c,004p,direct,Holy Locust – USA
014c,006p,direct,I monster – Angleterre
043c,004p,direct,musical youth – USA
030c,004p,direct,ST Vincent – USA
045c,006p,direct,Siouxsie and the banshees – Angleterre
046c,006p,direct,the moody blues – Angleterre
041c,006p,direct,Findlay – Angleterre
044c,004p,direct,rio romeo – USA
034c,004p,direct,The everly brothers – USA
