id,label,value,group,lat,lng
001p,Allemagne,1,pays,51.1657065,10.452764000000002
002p,France,5,pays,48.866667,2.333333
003p,Irlande,5,pays,53.4197505,-8.24047250000001
004p,USA,28,pays,38.8950368,-77.0365427
005p,Israel,1,pays,31.771959,35.217018
006p,Angleterre,14,pays,51.509093,-0.094151
007p,Belgique,3,pays,50.499527,4.475402500000001
008p,Japon,4,pays,34.886306,134.379711
009p,Suede,2,pays,62.199805999999995,17.63749324195902
010p,Pays de Galles,1,pays,51.481583,-3.179090
011p,Argentine,1,pays,-38.4212955,-63.587402499999996
012p,Canada,1,pays,62.393303,-96.8181455
001c,Adele,1,chanteur,,
002c,Army of lovers,1,chanteur,,
003c,Cosmo Sheldrake,1,chanteur,,
004c,Declan Mckenna,1,chanteur,,
005c,Electric light orchestra,1,chanteur,,
006c,Freshman biology,1,chanteur,,
007c,George Harrison,1,chanteur,,
008c,Gustavo Santaoalla,1,chanteur,,
009c,Hamilton Leithauser,1,chanteur,,
010c,Hank Williams,1,chanteur,,
011c,Holy locust,1,chanteur,,
012c,Hozier,1,chanteur,,
013c,Huey Lewis and the News,1,chanteur,,
014c,I Monster,1,chanteur,,
015c,Jacques,1,chanteur,,
016c,Jacques Brel,1,chanteur,,
017c,Jonathan Eng,1,chanteur,,
018c,Kevin Mauser,1,chanteur,,
019c,Kochi no Kento,1,chanteur,,
020c,Low,1,chanteur,,
021c,Marie Lafôret,1,chanteur,,
022c,Marina,1,chanteur,,
023c,Mitski,1,chanteur,,
024c,Nina Simone,1,chanteur,,
025c,Nitay Hershkovits,1,chanteur,,
026c,No doubt,1,chanteur,,
027c,Pomme,1,chanteur,,
028c,queen,1,chanteur,,
029c,REM,1,chanteur,,
030c,st vincent,1,chanteur,,
031c,San  fermin,1,chanteur,,
032c,shirley collins,1,chanteur,,
033c,tv girl,1,chanteur,,
034c,the everly brothers,1,chanteur,,
035c,the last dinner party,1,chanteur,,
036c,toby fox,1,chanteur,,
037c,tom petty,1,chanteur,,
038c,will paquin,1,chanteur,,
039c,woodkid,1,chanteur,,
040c,asia,1,chanteur,,
041c,findlay,1,chanteur,,
042c,fish in a birdcage,1,chanteur,,
043c,musical youth,1,chanteur,,
044c,rio romeo,1,chanteur,,
045c,siouxsie and the banshees,1,chanteur,,
046c,the moody blues,1,chanteur,,
047c,Bobby Vee,1,chanteur,,
048c,Crooked still,1,chanteur,,
049c,Ashniko,1,chanteur,,
